task,trajectory_id,state_index,robot,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14,object_15,object_16,object_17,object_18,object_19,object_20,actions
"navigate to (x=-1.33,y=-0.52,yaw=69.7)",1,0,"(x=-0.97,y=1.61,yaw=147.2)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.33,y=-0.52,yaw=69.7)}"
"navigate to (x=0.91,y=-0.32,yaw=71.2)",2,0,"(x=-0.25,y=-2.01,yaw=101.6)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.91,y=-0.32,yaw=71.2)}"
"navigate to (x=-0.18,y=2.42,yaw=-26.4)",3,0,"(x=-1.07,y=-0.88,yaw=155.4)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.18,y=2.42,yaw=-26.4)}"
"navigate to (x=-0.73,y=-2.45,yaw=43.5)",4,0,"(x=0.26,y=-0.43,yaw=59.4)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.73,y=-2.45,yaw=43.5)}"
"navigate to (x=1.42,y=0.46,yaw=-48.1)",5,0,"(x=-0.13,y=-0.13,yaw=61.2)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.42,y=0.46,yaw=-48.1)}"
"navigate to (x=1.41,y=-2.44,yaw=171.6)",6,0,"(x=0.59,y=1.95,yaw=165.6)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.41,y=-2.44,yaw=171.6)}"
"navigate to (x=0.63,y=2.21,yaw=-149.4)",7,0,"(x=0.60,y=-1.37,yaw=84.3)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.63,y=2.21,yaw=-149.4)}"
"navigate to (x=-0.96,y=0.39,yaw=30.0)",8,0,"(x=0.92,y=1.96,yaw=55.7)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.96,y=0.39,yaw=30.0)}"
"navigate to (x=-0.47,y=-0.65,yaw=-152.7)",9,0,"(x=1.05,y=-1.57,yaw=176.8)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.47,y=-0.65,yaw=-152.7)}"
"navigate to (x=0.56,y=0.82,yaw=-33.7)",10,0,"(x=0.68,y=-1.20,yaw=-86.6)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.56,y=0.82,yaw=-33.7)}"
"navigate to (x=-1.01,y=2.26,yaw=45.3)",11,0,"(x=-0.44,y=-2.18,yaw=125.9)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.01,y=2.26,yaw=45.3)}"
"navigate to (x=-1.32,y=-1.12,yaw=-101.4)",12,0,"(x=-0.79,y=0.09,yaw=-100.3)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.32,y=-1.12,yaw=-101.4)}"
"navigate to (x=1.07,y=-0.69,yaw=-90.6)",13,0,"(x=0.36,y=-0.88,yaw=163.7)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.07,y=-0.69,yaw=-90.6)}"
"navigate to (x=-1.08,y=-2.32,yaw=-106.3)",14,0,"(x=0.42,y=-1.75,yaw=88.0)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.08,y=-2.32,yaw=-106.3)}"
"navigate to (x=-1.28,y=1.52,yaw=145.9)",15,0,"(x=0.54,y=0.22,yaw=127.1)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.28,y=1.52,yaw=145.9)}"
"navigate to (x=-1.48,y=-1.87,yaw=178.9)",16,0,"(x=0.15,y=-0.35,yaw=-53.6)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.48,y=-1.87,yaw=178.9)}"
"navigate to (x=0.93,y=1.57,yaw=145.3)",17,0,"(x=-1.05,y=-0.16,yaw=-102.4)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.93,y=1.57,yaw=145.3)}"
"navigate to (x=-0.97,y=-1.67,yaw=-151.4)",18,0,"(x=0.90,y=-1.86,yaw=-17.7)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.97,y=-1.67,yaw=-151.4)}"
"navigate to (x=-0.04,y=0.32,yaw=-101.0)",19,0,"(x=-0.67,y=-0.23,yaw=116.6)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.04,y=0.32,yaw=-101.0)}"
"navigate to (x=0.61,y=0.53,yaw=5.6)",20,0,"(x=0.11,y=-1.35,yaw=131.9)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.61,y=0.53,yaw=5.6)}"
"navigate to (x=1.42,y=1.48,yaw=16.8)",21,0,"(x=0.14,y=-1.32,yaw=12.7)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.42,y=1.48,yaw=16.8)}"
"navigate to (x=-0.79,y=1.49,yaw=130.1)",22,0,"(x=0.79,y=-1.40,yaw=162.7)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.79,y=1.49,yaw=130.1)}"
"navigate to (x=0.81,y=-1.90,yaw=-121.2)",23,0,"(x=0.31,y=0.69,yaw=128.3)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.81,y=-1.90,yaw=-121.2)}"
"navigate to (x=-0.92,y=-1.48,yaw=41.0)",24,0,"(x=-0.47,y=1.87,yaw=165.6)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.92,y=-1.48,yaw=41.0)}"
"navigate to (x=0.97,y=2.46,yaw=174.0)",25,0,"(x=-0.83,y=-0.52,yaw=-153.9)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.97,y=2.46,yaw=174.0)}"
"navigate to (x=0.04,y=-0.91,yaw=116.5)",26,0,"(x=-0.52,y=1.91,yaw=-131.2)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.04,y=-0.91,yaw=116.5)}"
"navigate to (x=1.04,y=-1.38,yaw=19.9)",27,0,"(x=0.46,y=-0.84,yaw=145.7)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.04,y=-1.38,yaw=19.9)}"
"navigate to (x=-0.17,y=1.26,yaw=-96.2)",28,0,"(x=-0.04,y=1.39,yaw=15.3)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.17,y=1.26,yaw=-96.2)}"
"navigate to (x=0.35,y=1.91,yaw=-74.1)",29,0,"(x=-0.10,y=1.55,yaw=-108.2)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.35,y=1.91,yaw=-74.1)}"
